s_ph,s_temp,s_do,s_turbidity,index_heure
-0.04193,-0.0334,0.3635,0.298,139
-0.06235,-0.602,-0.1344,-0.012,140
0.0668,0.725,-0.1368,-0.3667,141
0.04236,-0.2002,0.2847,1.805,142
-0.0883,-0.3328,-0.273,-2.523,143
-0.00207,0.3406,0.04752,0.6787,144
0.0968,0.0159,0.259,2.45,145
-0.0683,-0.0828,-0.372,-3.645,146
-0.05252,-0.405,0.1798,1.324,147
0.1154,0.798,0.2012,2.748,148
-0.02791,-0.31,-0.459,-4.02,149
-0.09296,-0.8306,0.3315,0.76,150
0.10266,1.43,0.1153,3.422,151
0.002356,-0.583,-0.4487,-4.453,152
-0.07935,-1.055,0.3647,1.976,153
0.01839,1.63,0.03217,1.726,154
0.07605,-0.5776,-0.4084,-2.953,155
-0.05954,-0.8735,0.4446,0.655,156
-0.02866,1.238,-0.10376,1.461,157
0.05795,-0.2935,-0.29,-0.539,158
-0.02809,-0.6777,0.377,-1.638,159
-0.001572,0.6255,-0.1581,0.8423,160
0.0224,0.02702,-0.1174,2.207,161
-0.0557,-0.276,0.1746,-2.785,162
0.08417,0.08386,-0.0342,-1.068,163
-0.04178,0.01773,-0.06537,5.027,164
-0.06836,0.079,0.0851,-3.178,165
0.10864,-0.1048,-0.03296,-3.08,166
-0.01362,-0.088,-0.0632,6.383,167
-0.0863,0.1931,0.101,-1.795,168
0.0704,-0.07166,-0.03128,-5.22,169
0.03558,-0.11804,-0.06192,6.297,170
-0.0876,0.1768,0.05606,-1.069,171
0.04495,-0.02704,0.003742,-4.055,172
-0.001375,-0.1206,0.006462,3.709,173
-0.010994,0.10144,-0.0317,-0.2462,174
0.005505,0.03485,-0.0364,-1.724,175
-0.00384,-0.04523,0.0849,0.3457,176
0.01251,-0.02864,0.001913,1.745,177
0.003683,0.05594,-0.1528,-0.2654,178
-0.06177,0.02998,0.1394,-3.646,179
0.1062,-0.1106,0.1362,4.566,180
-0.0435,0.06335,-0.3142,-0.2487,181
-0.10175,0.0682,0.04422,-4.723,182
0.1663,-0.1664,0.3806,5.047,183
-0.04996,0.0798,-0.3777,-1.127,184
-0.1503,0.0912,-0.1029,-1.723,185
0.2094,-0.1776,0.4607,1.026,186
-0.01729,0.0619,-0.272,0.298,187
-0.2097,0.09485,-0.1647,0.3853,188
0.1837,-0.1874,0.3296,-2.078,189
0.02954,0.0821,-0.08716,1.659,190
-0.1309,0.1081,-0.1333,0.611,191
0.01936,-0.1483,0.0386,-2.465,192
0.0957,0.0473,0.05054,2.643,193
-0.02693,0.08344,0.1089,-0.6914,194
-0.11835,-0.0915,-0.2527,-1.27,195
0.0978,0.02203,0.0595,1.633,196
0.08716,0.06097,0.307,-0.878,197
-0.1837,-0.04956,-0.347,-0.2125,198
0.0947,-0.003649,-0.05463,0.4146,199
0.03668,0.0435,0.4143,0.197,200
-0.099,-0.002954,-0.3486,-0.3452,201
0.10535,-0.0473,0.00844,-0.259,202
-0.0941,0.02657,0.2278,0.8774,203
0.0346,0.02496,-0.2135,-0.5386,204
0.087,-0.04517,0.08307,-0.1259,205
-0.1599,0.000616,0.02614,-0.995,206
0.0722,0.03287,-0.10535,2.355,207
0.1203,-0.01469,0.1967,-0.04053,208
-0.184,-0.02835,-0.1995,-4.51,209
0.04004,-0.008835,-0.04803,5.95,210
0.1101,0.03717,0.3203,-1.36,211
-0.0963,-0.01898,-0.2937,-5.195,212
